From,To,Total_tweets,Tweets_div_by_2hr
2015-01-14 00:00:00,2015-01-14 02:00:00,103,51.5
2015-01-14 02:00:00,2015-01-14 04:00:00,78,39.0
2015-01-14 04:00:00,2015-01-14 06:00:00,121,60.5
2015-01-14 06:00:00,2015-01-14 08:00:00,262,131.0
2015-01-14 08:00:00,2015-01-14 10:00:00,515,257.5
2015-01-14 10:00:00,2015-01-14 12:00:00,422,211.0
2015-01-14 12:00:00,2015-01-14 14:00:00,757,378.5
2015-01-14 14:00:00,2015-01-14 16:00:00,535,267.5
2015-01-14 16:00:00,2015-01-14 18:00:00,455,227.5
2015-01-14 18:00:00,2015-01-14 20:00:00,315,157.5
2015-01-14 20:00:00,2015-01-14 22:00:00,435,217.5
2015-01-14 22:00:00,2015-01-15 00:00:00,223,111.5
2015-01-15 00:00:00,2015-01-15 02:00:00,106,53.0
2015-01-15 02:00:00,2015-01-15 04:00:00,100,50.0
2015-01-15 04:00:00,2015-01-15 06:00:00,140,70.0
2015-01-15 06:00:00,2015-01-15 08:00:00,246,123.0
2015-01-15 08:00:00,2015-01-15 10:00:00,477,238.5
2015-01-15 10:00:00,2015-01-15 12:00:00,370,185.0
2015-01-15 12:00:00,2015-01-15 14:00:00,644,322.0
2015-01-15 14:00:00,2015-01-15 16:00:00,524,262.0
2015-01-15 16:00:00,2015-01-15 18:00:00,575,287.5
2015-01-15 18:00:00,2015-01-15 20:00:00,534,267.0
2015-01-15 20:00:00,2015-01-15 22:00:00,394,197.0
2015-01-15 22:00:00,2015-01-16 00:00:00,139,69.5
2015-01-16 00:00:00,2015-01-16 02:00:00,81,40.5
2015-01-16 02:00:00,2015-01-16 04:00:00,23,11.5
2015-01-16 04:00:00,2015-01-16 06:00:00,127,63.5
2015-01-16 06:00:00,2015-01-16 08:00:00,401,200.5
2015-01-16 08:00:00,2015-01-16 10:00:00,816,408.0
2015-01-16 10:00:00,2015-01-16 12:00:00,963,481.5
2015-01-16 12:00:00,2015-01-16 14:00:00,1038,519.0
2015-01-16 14:00:00,2015-01-16 16:00:00,1036,518.0
2015-01-16 16:00:00,2015-01-16 18:00:00,719,359.5
2015-01-16 18:00:00,2015-01-16 20:00:00,726,363.0
2015-01-16 20:00:00,2015-01-16 22:00:00,654,327.0
2015-01-16 22:00:00,2015-01-17 00:00:00,368,184.0
2015-01-17 00:00:00,2015-01-17 02:00:00,158,79.0
2015-01-17 02:00:00,2015-01-17 04:00:00,76,38.0
2015-01-17 04:00:00,2015-01-17 06:00:00,180,90.0
2015-01-17 06:00:00,2015-01-17 08:00:00,262,131.0
2015-01-17 08:00:00,2015-01-17 10:00:00,647,323.5
2015-01-17 10:00:00,2015-01-17 12:00:00,750,375.0
2015-01-17 12:00:00,2015-01-17 14:00:00,770,385.0
2015-01-17 14:00:00,2015-01-17 16:00:00,519,259.5
2015-01-17 16:00:00,2015-01-17 18:00:00,608,304.0
2015-01-17 18:00:00,2015-01-17 20:00:00,686,343.0
2015-01-17 20:00:00,2015-01-17 22:00:00,647,323.5
2015-01-17 22:00:00,2015-01-18 00:00:00,541,270.5
2015-01-18 00:00:00,2015-01-18 02:00:00,341,170.5
2015-01-18 02:00:00,2015-01-18 04:00:00,67,33.5
2015-01-18 04:00:00,2015-01-18 06:00:00,343,171.5
2015-01-18 06:00:00,2015-01-18 08:00:00,1248,624.0
2015-01-18 08:00:00,2015-01-18 10:00:00,2838,1419.0
2015-01-18 10:00:00,2015-01-18 12:00:00,6514,3257.0
2015-01-18 12:00:00,2015-01-18 14:00:00,25612,12806.0
2015-01-18 14:00:00,2015-01-18 16:00:20,68484,34242.0
2015-01-18 16:00:20,2015-01-18 18:00:20,13619,6809.5
2015-01-18 18:00:20,2015-01-18 20:00:20,10230,5115.0
2015-01-18 20:00:20,2015-01-18 22:00:20,4591,2295.5
2015-01-18 22:00:20,2015-01-19 00:00:20,2483,1241.5
2015-01-19 00:00:20,2015-01-19 02:00:20,1069,534.5
2015-01-19 02:00:20,2015-01-19 04:00:20,707,353.5
2015-01-19 04:00:20,2015-01-19 06:00:20,888,444.0
2015-01-19 06:00:20,2015-01-19 08:00:20,1402,701.0
2015-01-19 08:00:20,2015-01-19 10:00:20,2592,1296.0
2015-01-19 10:00:20,2015-01-19 12:00:20,1723,861.5
2015-01-19 12:00:20,2015-01-19 14:00:20,1961,980.5
2015-01-19 14:00:20,2015-01-19 16:00:20,1528,764.0
2015-01-19 16:00:20,2015-01-19 18:00:20,993,496.5
2015-01-19 18:00:20,2015-01-19 20:00:20,1148,574.0
2015-01-19 20:00:20,2015-01-19 22:00:20,932,466.0
2015-01-19 22:00:20,2015-01-20 00:00:20,584,292.0
2015-01-20 00:00:20,2015-01-20 02:00:20,261,130.5
2015-01-20 02:00:20,2015-01-20 04:00:20,191,95.5
2015-01-20 04:00:20,2015-01-20 06:00:20,228,114.0
2015-01-20 06:00:20,2015-01-20 08:00:20,488,244.0
2015-01-20 08:00:20,2015-01-20 10:00:20,851,425.5
2015-01-20 10:00:20,2015-01-20 12:00:20,707,353.5
2015-01-20 12:00:20,2015-01-20 14:00:20,61,30.5
2015-01-20 14:00:20,2015-01-20 16:00:20,831,415.5
2015-01-20 16:00:20,2015-01-20 18:00:20,753,376.5
2015-01-20 18:00:20,2015-01-20 20:00:20,809,404.5
2015-01-20 20:00:20,2015-01-20 22:00:20,954,477.0
2015-01-20 22:00:20,2015-01-21 00:00:20,512,256.0
2015-01-21 00:00:20,2015-01-21 02:00:20,215,107.5
2015-01-21 02:00:20,2015-01-21 04:00:20,163,81.5
2015-01-21 04:00:20,2015-01-21 06:00:20,267,133.5
2015-01-21 06:00:20,2015-01-21 08:00:20,324,162.0
2015-01-21 08:00:20,2015-01-21 10:00:20,356,178.0
2015-01-21 10:00:20,2015-01-21 12:00:20,374,187.0
2015-01-21 12:00:20,2015-01-21 14:00:20,550,275.0
2015-01-21 14:00:20,2015-01-21 16:00:20,585,292.5
2015-01-21 16:00:20,2015-01-21 18:00:20,809,404.5
2015-01-21 18:00:20,2015-01-21 20:00:20,537,268.5
2015-01-21 20:00:20,2015-01-21 22:00:20,484,242.0
2015-01-21 22:00:20,2015-01-22 00:00:20,325,162.5
2015-01-22 00:00:20,2015-01-22 02:00:20,118,59.0
2015-01-22 02:00:20,2015-01-22 04:00:20,76,38.0
2015-01-22 04:00:20,2015-01-22 06:00:20,127,63.5
2015-01-22 06:00:20,2015-01-22 08:00:20,254,127.0
2015-01-22 08:00:20,2015-01-22 10:00:20,935,467.5
2015-01-22 10:00:20,2015-01-22 12:00:20,437,218.5
2015-01-22 12:00:20,2015-01-22 14:00:20,194,97.0
2015-01-22 14:00:20,2015-01-22 16:00:20,31,15.5
2015-01-22 16:00:20,2015-01-22 18:00:20,558,279.0
2015-01-22 18:00:20,2015-01-22 20:00:20,713,356.5
2015-01-22 20:00:20,2015-01-22 22:00:20,601,300.5
2015-01-22 22:00:20,2015-01-23 00:00:20,420,210.0
2015-01-23 00:00:20,2015-01-23 02:00:20,175,87.5
2015-01-23 02:00:20,2015-01-23 04:00:20,118,59.0
2015-01-23 04:00:20,2015-01-23 06:00:20,149,74.5
2015-01-23 06:00:20,2015-01-23 08:00:20,695,347.5
2015-01-23 08:00:20,2015-01-23 10:00:20,699,349.5
2015-01-23 10:00:20,2015-01-23 12:00:20,656,328.0
2015-01-23 12:00:20,2015-01-23 14:00:20,657,328.5
2015-01-23 14:00:20,2015-01-23 16:00:20,821,410.5
2015-01-23 16:00:20,2015-01-23 18:00:20,801,400.5
2015-01-23 18:00:20,2015-01-23 20:00:20,658,329.0
2015-01-23 20:00:20,2015-01-23 22:00:20,488,244.0
2015-01-23 22:00:20,2015-01-24 00:00:20,324,162.0
2015-01-24 00:00:20,2015-01-24 02:00:20,158,79.0
2015-01-24 02:00:20,2015-01-24 04:00:20,94,47.0
2015-01-24 04:00:20,2015-01-24 06:00:20,116,58.0
2015-01-24 06:00:20,2015-01-24 08:00:20,507,253.5
2015-01-24 08:00:20,2015-01-24 10:00:20,618,309.0
2015-01-24 10:00:20,2015-01-24 12:00:20,650,325.0
2015-01-24 12:00:20,2015-01-24 14:00:20,697,348.5
2015-01-24 14:00:20,2015-01-24 16:00:20,534,267.0
2015-01-24 16:00:20,2015-01-24 18:00:20,610,305.0
2015-01-24 18:00:20,2015-01-24 20:00:20,681,340.5
2015-01-24 20:00:20,2015-01-24 22:00:20,610,305.0
2015-01-24 22:00:20,2015-01-25 00:00:20,317,158.5
2015-01-25 00:00:20,2015-01-25 02:00:20,154,77.0
2015-01-25 02:00:20,2015-01-25 04:00:20,82,41.0
2015-01-25 04:00:20,2015-01-25 06:00:20,100,50.0
2015-01-25 06:00:20,2015-01-25 08:00:20,378,189.0
2015-01-25 08:00:20,2015-01-25 10:00:20,1066,533.0
2015-01-25 10:00:20,2015-01-25 12:00:20,1199,599.5
2015-01-25 12:00:20,2015-01-25 14:00:20,1238,619.0
2015-01-25 14:00:20,2015-01-25 16:00:20,1529,764.5
2015-01-25 16:00:20,2015-01-25 18:00:20,1005,502.5
2015-01-25 18:00:20,2015-01-25 20:00:20,844,422.0
2015-01-25 20:00:20,2015-01-25 22:00:20,593,296.5
2015-01-25 22:00:20,2015-01-26 00:00:20,380,190.0
2015-01-26 00:00:20,2015-01-26 02:00:20,151,75.5
2015-01-26 02:00:20,2015-01-26 04:00:20,197,98.5
2015-01-26 04:00:20,2015-01-26 06:00:20,311,155.5
2015-01-26 06:00:20,2015-01-26 08:00:20,446,223.0
2015-01-26 08:00:20,2015-01-26 10:00:20,765,382.5
2015-01-26 10:00:20,2015-01-26 12:00:20,775,387.5
2015-01-26 12:00:20,2015-01-26 14:00:20,653,326.5
2015-01-26 14:00:20,2015-01-26 16:00:20,958,479.0
2015-01-26 16:00:20,2015-01-26 18:00:20,845,422.5
2015-01-26 18:00:20,2015-01-26 20:00:20,971,485.5
2015-01-26 20:00:20,2015-01-26 22:00:20,883,441.5
2015-01-26 22:00:20,2015-01-27 00:00:20,507,253.5
2015-01-27 00:00:20,2015-01-27 02:00:20,208,104.0
2015-01-27 02:00:20,2015-01-27 04:00:20,165,82.5
2015-01-27 04:00:20,2015-01-27 06:00:20,406,203.0
2015-01-27 06:00:20,2015-01-27 08:00:20,675,337.5
2015-01-27 08:00:20,2015-01-27 10:00:20,1303,651.5
2015-01-27 10:00:20,2015-01-27 12:00:20,2264,1132.0
2015-01-27 12:00:20,2015-01-27 14:00:20,2212,1106.0
2015-01-27 14:00:20,2015-01-27 16:00:20,1526,763.0
2015-01-27 16:00:20,2015-01-27 18:00:20,1113,556.5
2015-01-27 18:00:20,2015-01-27 20:00:20,1251,625.5
2015-01-27 20:00:20,2015-01-27 22:00:20,903,451.5
2015-01-27 22:00:20,2015-01-28 00:00:20,506,253.0
2015-01-28 00:00:20,2015-01-28 02:00:20,259,129.5
2015-01-28 02:00:20,2015-01-28 04:00:20,192,96.0
2015-01-28 04:00:20,2015-01-28 06:00:20,277,138.5
2015-01-28 06:00:20,2015-01-28 08:00:20,527,263.5
2015-01-28 08:00:20,2015-01-28 10:00:20,1446,723.0
2015-01-28 10:00:20,2015-01-28 12:00:20,1556,778.0
2015-01-28 12:00:20,2015-01-28 14:00:20,1175,587.5
2015-01-28 14:00:20,2015-01-28 16:00:20,1293,646.5
2015-01-28 16:00:20,2015-01-28 18:00:20,1161,580.5
2015-01-28 18:00:20,2015-01-28 20:00:20,948,474.0
2015-01-28 20:00:20,2015-01-28 22:00:20,122,61.0
2015-01-28 22:00:20,2015-01-28 23:59:20,25,12.5
