From,To,Total_tweets,Tweets_div_by_2hr
2015-01-14 00:00:00,2015-01-14 02:00:00,46,0.006388888888888889
2015-01-14 02:00:00,2015-01-14 04:00:00,63,0.00875
2015-01-14 04:00:00,2015-01-14 06:00:00,152,0.021111111111111112
2015-01-14 06:00:00,2015-01-14 08:00:00,318,0.04416666666666667
2015-01-14 08:00:00,2015-01-14 10:00:00,820,0.11388888888888889
2015-01-14 10:00:00,2015-01-14 12:00:00,599,0.08319444444444445
2015-01-14 12:00:00,2015-01-14 14:00:00,608,0.08444444444444445
2015-01-14 14:00:00,2015-01-14 16:00:00,477,0.06625
2015-01-14 16:00:00,2015-01-14 18:00:00,270,0.0375
2015-01-14 18:00:00,2015-01-14 20:00:00,203,0.028194444444444446
2015-01-14 20:00:00,2015-01-14 22:00:00,290,0.04027777777777778
2015-01-14 22:00:00,2015-01-15 00:00:00,99,0.01375
2015-01-15 00:00:00,2015-01-15 02:00:00,72,0.01
2015-01-15 02:00:00,2015-01-15 04:00:00,106,0.014722222222222222
2015-01-15 04:00:00,2015-01-15 06:00:00,158,0.021944444444444444
2015-01-15 06:00:00,2015-01-15 08:00:00,411,0.05708333333333333
2015-01-15 08:00:00,2015-01-15 10:00:00,577,0.08013888888888888
2015-01-15 10:00:00,2015-01-15 12:00:00,388,0.05388888888888889
2015-01-15 12:00:00,2015-01-15 14:00:00,456,0.06333333333333334
2015-01-15 14:00:00,2015-01-15 16:00:00,472,0.06555555555555556
2015-01-15 16:00:00,2015-01-15 18:00:00,355,0.049305555555555554
2015-01-15 18:00:00,2015-01-15 20:00:00,412,0.05722222222222222
2015-01-15 20:00:00,2015-01-15 22:00:00,175,0.024305555555555556
2015-01-15 22:00:00,2015-01-16 00:00:00,43,0.0059722222222222225
2015-01-16 00:00:00,2015-01-16 02:00:00,44,0.006111111111111111
2015-01-16 02:00:00,2015-01-16 04:00:00,24,0.0033333333333333335
2015-01-16 04:00:00,2015-01-16 06:00:00,100,0.013888888888888888
2015-01-16 06:00:00,2015-01-16 08:00:00,323,0.04486111111111111
2015-01-16 08:00:00,2015-01-16 10:00:00,708,0.09833333333333333
2015-01-16 10:00:00,2015-01-16 12:00:00,748,0.10388888888888889
2015-01-16 12:00:00,2015-01-16 14:00:00,772,0.10722222222222222
2015-01-16 14:00:00,2015-01-16 16:00:00,770,0.10694444444444444
2015-01-16 16:00:00,2015-01-16 18:00:00,380,0.05277777777777778
2015-01-16 18:00:00,2015-01-16 20:00:00,308,0.042777777777777776
2015-01-16 20:00:00,2015-01-16 22:00:00,247,0.034305555555555554
2015-01-16 22:00:00,2015-01-17 00:00:00,144,0.02
2015-01-17 00:00:00,2015-01-17 02:00:00,54,0.0075
2015-01-17 02:00:00,2015-01-17 04:00:00,59,0.008194444444444445
2015-01-17 04:00:00,2015-01-17 06:00:00,159,0.022083333333333333
2015-01-17 06:00:00,2015-01-17 08:00:00,268,0.03722222222222222
2015-01-17 08:00:00,2015-01-17 10:00:00,585,0.08125
2015-01-17 10:00:00,2015-01-17 12:00:00,515,0.07152777777777777
2015-01-17 12:00:00,2015-01-17 14:00:00,614,0.08527777777777777
2015-01-17 14:00:00,2015-01-17 16:00:00,548,0.07611111111111112
2015-01-17 16:00:00,2015-01-17 18:00:00,437,0.06069444444444445
2015-01-17 18:00:00,2015-01-17 20:00:00,444,0.06166666666666667
2015-01-17 20:00:00,2015-01-17 22:00:00,324,0.045
2015-01-17 22:00:00,2015-01-18 00:00:00,184,0.025555555555555557
2015-01-18 00:00:00,2015-01-18 02:00:00,153,0.02125
2015-01-18 02:00:00,2015-01-18 04:00:00,18,0.0025
2015-01-18 04:00:00,2015-01-18 06:00:00,354,0.049166666666666664
2015-01-18 06:00:00,2015-01-18 08:00:00,1442,0.20027777777777778
2015-01-18 08:00:00,2015-01-18 10:00:00,2199,0.30541666666666667
2015-01-18 10:00:00,2015-01-18 12:00:00,2317,0.32180555555555557
2015-01-18 12:00:00,2015-01-18 14:00:00,2553,0.3545833333333333
2015-01-18 14:00:00,2015-01-18 16:00:00,8326,1.156388888888889
2015-01-18 16:00:00,2015-01-18 18:00:30,14327,1.989861111111111
2015-01-18 18:00:30,2015-01-18 20:00:50,28271,3.926527777777778
2015-01-18 20:00:50,2015-01-18 22:00:50,3987,0.55375
2015-01-18 22:00:50,2015-01-19 00:00:50,1979,0.2748611111111111
2015-01-19 00:00:50,2015-01-19 02:00:50,671,0.09319444444444444
2015-01-19 02:00:50,2015-01-19 04:00:50,712,0.09888888888888889
2015-01-19 04:00:50,2015-01-19 06:00:50,1267,0.17597222222222222
2015-01-19 06:00:50,2015-01-19 08:00:50,2498,0.34694444444444444
2015-01-19 08:00:50,2015-01-19 10:00:50,3153,0.4379166666666667
2015-01-19 10:00:50,2015-01-19 12:00:50,2064,0.2866666666666667
2015-01-19 12:00:50,2015-01-19 14:00:50,1841,0.25569444444444445
2015-01-19 14:00:50,2015-01-19 16:00:50,1403,0.19486111111111112
2015-01-19 16:00:50,2015-01-19 18:00:50,1054,0.1463888888888889
2015-01-19 18:00:50,2015-01-19 20:00:50,1198,0.1663888888888889
2015-01-19 20:00:50,2015-01-19 22:00:50,694,0.09638888888888889
2015-01-19 22:00:50,2015-01-20 00:00:50,373,0.051805555555555556
2015-01-20 00:00:50,2015-01-20 02:00:50,182,0.025277777777777777
2015-01-20 02:00:50,2015-01-20 04:00:50,209,0.029027777777777777
2015-01-20 04:00:50,2015-01-20 06:00:50,463,0.06430555555555556
2015-01-20 06:00:50,2015-01-20 08:00:50,736,0.10222222222222223
2015-01-20 08:00:50,2015-01-20 10:00:50,1026,0.1425
2015-01-20 10:00:50,2015-01-20 12:00:50,667,0.0926388888888889
2015-01-20 12:00:50,2015-01-20 14:00:50,44,0.006111111111111111
2015-01-20 14:00:50,2015-01-20 16:00:50,706,0.09805555555555556
2015-01-20 16:00:50,2015-01-20 18:00:50,686,0.09527777777777778
2015-01-20 18:00:50,2015-01-20 20:00:50,709,0.09847222222222222
2015-01-20 20:00:50,2015-01-20 22:00:50,6196,0.8605555555555555
2015-01-20 22:00:50,2015-01-21 00:00:50,1333,0.18513888888888888
2015-01-21 00:00:50,2015-01-21 02:00:50,448,0.06222222222222222
2015-01-21 02:00:50,2015-01-21 04:00:50,930,0.12916666666666668
2015-01-21 04:00:50,2015-01-21 06:00:50,1829,0.2540277777777778
2015-01-21 06:00:50,2015-01-21 08:00:50,1788,0.24833333333333332
2015-01-21 08:00:50,2015-01-21 10:00:50,1416,0.19666666666666666
2015-01-21 10:00:50,2015-01-21 12:00:50,1285,0.17847222222222223
2015-01-21 12:00:50,2015-01-21 14:00:50,1221,0.16958333333333334
2015-01-21 14:00:50,2015-01-21 16:00:50,1446,0.20083333333333334
2015-01-21 16:00:50,2015-01-21 18:00:50,1788,0.24833333333333332
2015-01-21 18:00:50,2015-01-21 20:00:50,1340,0.18611111111111112
2015-01-21 20:00:50,2015-01-21 22:00:50,823,0.11430555555555555
2015-01-21 22:00:50,2015-01-22 00:00:50,389,0.05402777777777778
2015-01-22 00:00:50,2015-01-22 02:00:50,154,0.021388888888888888
2015-01-22 02:00:50,2015-01-22 04:00:50,198,0.0275
2015-01-22 04:00:50,2015-01-22 06:00:50,466,0.06472222222222222
2015-01-22 06:00:50,2015-01-22 08:00:50,1730,0.24027777777777778
2015-01-22 08:00:50,2015-01-22 10:00:50,2085,0.28958333333333336
2015-01-22 10:00:50,2015-01-22 12:00:50,1045,0.1451388888888889
2015-01-22 12:00:50,2015-01-22 14:00:50,482,0.06694444444444445
2015-01-22 14:00:50,2015-01-22 16:00:50,98,0.01361111111111111
2015-01-22 16:00:50,2015-01-22 18:00:50,1747,0.24263888888888888
2015-01-22 18:00:50,2015-01-22 20:00:50,2036,0.2827777777777778
2015-01-22 20:00:50,2015-01-22 22:00:50,1073,0.1490277777777778
2015-01-22 22:00:50,2015-01-23 00:00:50,522,0.0725
2015-01-23 00:00:50,2015-01-23 02:00:50,235,0.03263888888888889
2015-01-23 02:00:50,2015-01-23 04:00:50,337,0.04680555555555556
2015-01-23 04:00:50,2015-01-23 06:00:50,770,0.10694444444444444
2015-01-23 06:00:50,2015-01-23 08:00:50,1599,0.22208333333333333
2015-01-23 08:00:50,2015-01-23 10:00:50,1636,0.22722222222222221
2015-01-23 10:00:50,2015-01-23 12:00:50,1804,0.25055555555555553
2015-01-23 12:00:50,2015-01-23 14:00:50,1815,0.2520833333333333
2015-01-23 14:00:50,2015-01-23 16:00:50,1273,0.17680555555555555
2015-01-23 16:00:50,2015-01-23 18:00:50,1275,0.17708333333333334
2015-01-23 18:00:50,2015-01-23 20:00:50,944,0.13111111111111112
2015-01-23 20:00:50,2015-01-23 22:00:50,568,0.07888888888888888
2015-01-23 22:00:50,2015-01-24 00:00:50,312,0.043333333333333335
2015-01-24 00:00:50,2015-01-24 02:00:50,143,0.01986111111111111
2015-01-24 02:00:50,2015-01-24 04:00:50,169,0.02347222222222222
2015-01-24 04:00:50,2015-01-24 06:00:50,310,0.043055555555555555
2015-01-24 06:00:50,2015-01-24 08:00:50,1200,0.16666666666666666
2015-01-24 08:00:50,2015-01-24 10:00:50,883,0.1226388888888889
2015-01-24 10:00:50,2015-01-24 12:00:50,1874,0.2602777777777778
2015-01-24 12:00:50,2015-01-24 14:00:50,7705,1.070138888888889
2015-01-24 14:00:50,2015-01-24 16:00:50,1692,0.235
2015-01-24 16:00:50,2015-01-24 18:00:50,1082,0.1502777777777778
2015-01-24 18:00:50,2015-01-24 20:00:50,1016,0.1411111111111111
2015-01-24 20:00:50,2015-01-24 22:00:50,696,0.09666666666666666
2015-01-24 22:00:50,2015-01-25 00:00:50,407,0.05652777777777778
2015-01-25 00:00:50,2015-01-25 02:00:50,172,0.02388888888888889
2015-01-25 02:00:50,2015-01-25 04:00:50,168,0.023333333333333334
2015-01-25 04:00:50,2015-01-25 06:00:50,279,0.03875
2015-01-25 06:00:50,2015-01-25 08:00:50,615,0.08541666666666667
2015-01-25 08:00:50,2015-01-25 10:00:50,919,0.12763888888888889
2015-01-25 10:00:50,2015-01-25 12:00:50,1143,0.15875
2015-01-25 12:00:50,2015-01-25 14:00:50,943,0.1309722222222222
2015-01-25 14:00:50,2015-01-25 16:00:50,938,0.13027777777777777
2015-01-25 16:00:50,2015-01-25 18:00:50,1025,0.1423611111111111
2015-01-25 18:00:50,2015-01-25 20:00:50,839,0.11652777777777777
2015-01-25 20:00:50,2015-01-25 22:00:50,520,0.07222222222222222
2015-01-25 22:00:50,2015-01-26 00:00:50,319,0.044305555555555556
2015-01-26 00:00:50,2015-01-26 02:00:50,123,0.017083333333333332
2015-01-26 02:00:50,2015-01-26 04:00:50,226,0.03138888888888889
2015-01-26 04:00:50,2015-01-26 06:00:50,441,0.06125
2015-01-26 06:00:50,2015-01-26 08:00:50,817,0.11347222222222222
2015-01-26 08:00:50,2015-01-26 10:00:50,1335,0.18541666666666667
2015-01-26 10:00:50,2015-01-26 12:00:50,1060,0.14722222222222223
2015-01-26 12:00:50,2015-01-26 14:00:50,960,0.13333333333333333
2015-01-26 14:00:50,2015-01-26 16:00:50,1706,0.23694444444444446
2015-01-26 16:00:50,2015-01-26 18:00:50,2190,0.30416666666666664
2015-01-26 18:00:50,2015-01-26 20:00:50,1789,0.24847222222222223
2015-01-26 20:00:50,2015-01-26 22:00:50,1378,0.1913888888888889
2015-01-26 22:00:50,2015-01-27 00:00:50,676,0.09388888888888888
2015-01-27 00:00:50,2015-01-27 02:00:50,217,0.03013888888888889
2015-01-27 02:00:50,2015-01-27 04:00:50,328,0.04555555555555556
2015-01-27 04:00:50,2015-01-27 06:00:50,692,0.0961111111111111
2015-01-27 06:00:50,2015-01-27 08:00:50,996,0.13833333333333334
2015-01-27 08:00:50,2015-01-27 10:00:50,1670,0.23194444444444445
2015-01-27 10:00:50,2015-01-27 12:00:50,1782,0.2475
2015-01-27 12:00:50,2015-01-27 14:00:50,1272,0.17666666666666667
2015-01-27 14:00:50,2015-01-27 16:00:50,1143,0.15875
2015-01-27 16:00:50,2015-01-27 18:00:50,942,0.13083333333333333
2015-01-27 18:00:50,2015-01-27 20:00:50,1056,0.14666666666666667
2015-01-27 20:00:50,2015-01-27 22:00:50,654,0.09083333333333334
2015-01-27 22:00:50,2015-01-28 00:00:50,336,0.04666666666666667
2015-01-28 00:00:50,2015-01-28 02:00:50,170,0.02361111111111111
2015-01-28 02:00:50,2015-01-28 04:00:50,184,0.025555555555555557
2015-01-28 04:00:50,2015-01-28 06:00:50,286,0.03972222222222222
2015-01-28 06:00:50,2015-01-28 08:00:50,622,0.08638888888888889
2015-01-28 08:00:50,2015-01-28 10:00:50,1185,0.16458333333333333
2015-01-28 10:00:50,2015-01-28 12:00:50,1175,0.16319444444444445
2015-01-28 12:00:50,2015-01-28 14:00:50,938,0.13027777777777777
2015-01-28 14:00:50,2015-01-28 16:00:50,1134,0.1575
2015-01-28 16:00:50,2015-01-28 18:00:50,996,0.13833333333333334
2015-01-28 18:00:50,2015-01-28 20:00:50,664,0.09222222222222222
2015-01-28 20:00:50,2015-01-28 22:00:50,102,0.014166666666666666
2015-01-28 22:00:50,2015-01-28 23:59:50,10,0.001388888888888889
